iter	RMSE
0	14.15485233
1	13.30306027
2	12.4551431
3	11.6767403
4	11.0342507
5	10.52923967
6	10.00528091
7	9.559888451
8	9.155966968
9	8.746155812
10	8.375481244
11	8.079317703
12	7.800421279
13	7.536604685
14	7.284108428
15	7.064775664
16	6.884617664
17	6.717482931
18	6.550749689
19	6.418362063
20	6.306374673
21	6.190053522
22	6.084577293
23	5.996768161
24	5.908818155
25	5.854452123
26	5.787288062
27	5.737307004
28	5.695236928
29	5.64305184
30	5.596508837
31	5.550926418
32	5.502396991
33	5.469051144
34	5.44346825
35	5.420061989
36	5.399535417
37	5.376114743
38	5.352249373
39	5.325937411
40	5.301702331
41	5.289967018
42	5.27100815
43	5.250774587
44	5.237045388
45	5.219739538
46	5.209818556
47	5.190883142
48	5.174865849
49	5.163189524
50	5.151072398
51	5.135798418
52	5.121077983
53	5.109198909
54	5.105070835
55	5.082419837
56	5.074685304
57	5.068007885
58	5.054868539
59	5.048338511
60	5.037630994
61	5.026730062
62	5.013528539
63	5.007535156
64	4.991824351
65	4.979232341
66	4.966061896
67	4.956478866
68	4.94829227
69	4.940323019
70	4.929485683
71	4.913828893
72	4.900930286
73	4.888634383
74	4.87158027
75	4.854999256
76	4.847320338
77	4.838120257
78	4.829801185
79	4.822749449
80	4.822371426
81	4.815293221
82	4.807979393
83	4.800501144
84	4.791281456
85	4.782582344
86	4.778485692
87	4.774228001
88	4.762615402
89	4.750112343
90	4.744662843
91	4.734446028
92	4.729131442
93	4.721847188
94	4.715113079
95	4.712873552
96	4.695989551
97	4.68000499
98	4.677757954
99	4.667979925
