iter	Passed	Remaining
0	1	172
1	2	133
2	3	118
3	4	109
4	5	103
5	7	110
6	12	170
7	13	160
8	14	150
9	15	141
10	16	135
11	17	128
12	18	126
13	19	121
14	20	118
15	29	152
16	30	149
17	31	142
18	32	137
19	33	132
20	34	128
21	35	124
22	36	120
23	40	128
24	42	126
25	42	122
26	43	118
27	44	115
28	45	112
29	46	109
30	47	106
31	48	103
32	49	100
33	55	107
34	56	105
35	57	102
36	58	99
37	59	97
38	60	94
39	62	93
40	63	90
41	65	90
42	70	93
43	71	91
44	72	88
45	73	86
46	74	83
47	75	81
48	76	79
49	76	76
50	79	76
51	83	77
52	85	75
53	86	73
54	86	70
55	87	69
56	89	67
57	90	65
58	91	63
59	92	61
60	97	62
61	99	60
62	100	58
63	101	56
64	102	54
65	102	53
66	104	51
67	105	49
68	106	47
69	109	47
70	113	46
71	114	44
72	115	42
73	116	40
74	116	38
75	118	37
76	125	37
77	128	36
78	129	34
79	130	32
80	131	30
81	132	29
82	133	27
83	139	26
84	141	24
85	142	23
86	143	21
87	143	19
88	144	17
89	146	16
90	147	14
91	148	12
92	150	11
93	155	9
94	157	8
95	158	6
96	159	4
97	160	3
98	161	1
99	162	0
