iter	RMSE
0	15.1265543
1	14.76531882
2	14.3879254
3	14.01588715
4	13.73314153
5	13.45632399
6	13.15514533
7	12.86146543
8	12.59672108
9	12.29909788
10	12.01075573
11	11.76734151
12	11.53860334
13	11.28032808
14	11.04717079
15	10.80674421
16	10.57398569
17	10.37210883
18	10.18093548
19	9.991004731
20	9.796980163
21	9.601210494
22	9.427545622
23	9.258143104
24	9.093042489
25	8.941806339
26	8.795319972
27	8.660725435
28	8.524201883
29	8.403377905
30	8.278937492
31	8.162401232
32	8.059254597
33	7.958828934
34	7.870864998
35	7.766741368
36	7.669930305
37	7.577312743
38	7.478019538
39	7.379904448
40	7.288172815
41	7.208116897
42	7.130375614
43	7.058473883
44	6.983673516
45	6.917628677
46	6.846655393
47	6.778684223
48	6.721658136
49	6.668189895
50	6.608743329
51	6.554654005
52	6.504736955
53	6.45571475
54	6.40230382
55	6.353725587
56	6.309792734
57	6.272292275
58	6.234786704
59	6.197468532
60	6.156716152
61	6.124195753
62	6.090073428
63	6.057363739
64	6.028431233
65	5.993623132
66	5.956903466
67	5.927808694
68	5.90957325
69	5.878120336
70	5.85626574
71	5.82879226
72	5.802517291
73	5.774188846
74	5.751751831
75	5.72935383
76	5.702009265
77	5.683379635
78	5.662958386
79	5.644471812
80	5.623254548
81	5.606485251
82	5.590400599
83	5.572784113
84	5.557455625
85	5.538956881
86	5.522414125
87	5.510469967
88	5.494820199
89	5.480436107
90	5.466480778
91	5.448749805
92	5.438044333
93	5.425701943
94	5.410226035
95	5.396830474
96	5.386154832
97	5.37389183
98	5.364441134
99	5.353754152
100	5.341537434
101	5.331299655
102	5.320175338
103	5.311032429
104	5.301887471
105	5.291511894
106	5.28149165
107	5.272145091
108	5.264393073
109	5.257582673
110	5.250180575
111	5.240350576
112	5.23255234
113	5.225766752
114	5.21808604
115	5.209445346
116	5.200614621
117	5.192995601
118	5.183477277
119	5.176857565
120	5.168768902
121	5.163146229
122	5.155642108
123	5.151430906
124	5.146832937
125	5.138945313
126	5.131760576
