iter	Passed	Remaining
0	1	1910
1	3	1876
2	6	2034
3	8	2131
4	11	2217
5	12	2097
6	13	1947
7	15	1867
8	22	2429
9	23	2321
10	24	2190
11	25	2063
12	26	1976
13	26	1898
14	27	1831
15	28	1773
16	31	1850
17	34	1870
18	35	1823
19	36	1773
20	36	1722
21	37	1679
22	38	1643
23	39	1608
24	40	1576
25	41	1548
26	42	1520
27	43	1494
28	45	1526
29	47	1524
30	48	1502
31	48	1482
32	49	1464
33	51	1449
34	52	1437
35	53	1426
36	54	1408
37	55	1395
38	56	1384
39	58	1408
40	59	1395
41	60	1381
42	61	1368
43	62	1354
44	63	1340
45	64	1328
46	65	1336
47	66	1328
48	68	1326
49	69	1321
50	71	1322
51	73	1335
52	74	1327
53	75	1320
54	76	1313
55	77	1306
56	78	1300
57	79	1292
58	80	1285
59	81	1278
60	82	1270
61	83	1264
62	85	1265
63	86	1266
64	87	1260
65	88	1254
66	89	1249
67	91	1249
68	91	1238
69	92	1231
70	93	1220
71	94	1214
72	95	1209
73	96	1205
74	97	1200
75	98	1196
76	100	1201
77	101	1198
78	102	1195
79	103	1191
80	104	1185
81	105	1184
82	106	1181
83	107	1177
84	109	1174
85	110	1170
86	111	1167
87	111	1160
88	113	1166
89	116	1181
90	117	1177
91	119	1176
92	120	1177
93	122	1183
94	123	1178
95	124	1173
96	125	1168
97	126	1163
98	130	1189
99	132	1188
100	133	1184
101	134	1183
102	135	1181
103	136	1178
104	137	1173
105	138	1169
106	139	1165
107	140	1162
108	142	1162
109	144	1171
110	145	1167
111	146	1164
112	148	1162
113	148	1157
114	149	1152
115	150	1148
116	151	1145
117	152	1142
118	154	1146
119	157	1154
120	159	1159
121	160	1156
122	161	1152
123	162	1149
124	163	1147
125	165	1144
126	166	1141
127	167	1140
128	173	1170
129	178	1195
130	180	1197
131	181	1194
132	182	1191
133	184	1189
134	186	1195
135	188	1199
136	189	1196
137	191	1194
138	192	1190
139	193	1187
140	194	1182
141	195	1180
142	196	1177
143	197	1174
144	199	1179
145	202	1182
146	203	1179
147	204	1176
148	205	1172
149	206	1168
150	207	1164
151	208	1161
152	209	1158
153	210	1154
154	211	1151
155	212	1151
156	214	1154
157	215	1150
158	216	1147
159	217	1144
160	219	1141
161	220	1138
162	221	1135
163	222	1133
164	223	1131
165	228	1150
166	231	1153
167	232	1150
168	233	1147
169	234	1143
170	235	1141
171	236	1138
172	237	1136
173	239	1136
174	243	1146
175	244	1144
176	245	1141
177	246	1138
178	247	1135
179	248	1132
180	249	1128
181	250	1126
182	251	1122
183	252	1119
184	254	1121
185	257	1127
186	258	1124
187	259	1120
188	260	1117
189	262	1119
190	263	1117
191	264	1113
192	265	1110
193	266	1107
194	270	1118
195	272	1117
196	273	1114
197	274	1111
198	275	1110
199	277	1108
200	278	1107
201	279	1105
202	281	1104
203	284	1109
204	285	1106
205	286	1104
206	287	1101
207	288	1099
208	289	1096
209	291	1095
210	292	1093
211	293	1090
212	294	1087
213	298	1095
214	299	1094
215	300	1091
216	302	1089
217	303	1086
218	303	1083
219	304	1081
220	306	1078
221	307	1076
222	308	1073
223	311	1078
224	312	1077
225	313	1074
226	314	1071
227	315	1069
228	316	1067
229	317	1064
230	318	1061
231	320	1059
232	321	1056
233	321	1054
234	326	1063
235	327	1060
236	328	1057
237	330	1056
238	331	1054
239	331	1051
240	332	1047
241	333	1046
242	334	1043
243	336	1042
244	342	1054
245	343	1051
246	344	1049
247	345	1046
248	346	1044
249	347	1042
250	348	1039
251	349	1037
252	350	1035
253	353	1037
254	355	1037
255	356	1035
256	357	1033
257	358	1030
258	359	1028
259	360	1026
260	361	1024
261	362	1022
262	363	1019
263	364	1016
264	368	1023
265	369	1020
266	370	1018
267	371	1016
268	373	1013
269	374	1011
270	374	1008
271	375	1005
272	376	1003
273	377	1000
274	378	997
275	380	998
276	383	1000
277	384	998
278	385	996
279	387	995
280	388	993
281	389	991
282	390	990
283	392	989
284	393	987
285	396	990
286	397	988
287	399	986
288	400	984
289	401	982
290	402	979
291	403	977
292	404	975
293	405	973
294	406	971
295	408	971
296	410	972
297	411	970
298	413	968
299	414	967
300	416	967
301	417	965
302	418	963
303	419	961
304	423	964
305	425	964
306	426	962
307	427	961
308	429	959
309	430	957
310	431	955
311	432	953
312	433	951
313	434	949
314	438	954
315	440	954
316	442	952
317	444	952
318	445	950
319	446	949
320	447	947
321	451	951
322	453	950
323	454	947
324	455	946
325	456	944
326	457	942
327	459	940
328	460	938
329	461	936
330	462	934
331	467	940
332	469	939
333	470	938
334	472	937
335	473	936
336	475	934
337	476	932
338	481	938
339	482	936
340	483	934
341	484	932
342	485	930
343	486	928
344	488	926
345	489	924
346	490	923
347	495	928
348	497	928
349	500	928
350	501	927
351	503	926
352	504	924
353	505	922
354	510	927
355	511	926
356	513	924
357	514	922
358	515	920
359	516	918
360	517	916
361	518	914
362	520	912
363	524	916
364	525	914
365	527	913
366	529	912
367	530	910
368	531	908
369	532	906
370	533	904
371	535	903
372	538	905
373	539	903
374	540	901
375	541	898
376	542	897
377	543	894
378	544	892
379	545	890
380	547	888
381	548	886
382	552	889
383	553	888
384	555	886
385	556	884
386	557	882
387	558	880
388	559	878
389	560	876
390	561	874
391	563	873
392	565	873
393	566	871
394	567	869
395	568	867
396	569	865
397	570	862
398	571	860
399	572	858
400	573	856
401	574	854
402	578	856
403	579	854
404	580	852
405	581	851
406	582	849
407	584	847
408	585	845
409	586	843
410	587	841
411	588	839
412	589	837
413	590	836
414	591	834
415	592	832
416	594	830
417	595	828
